iter	Passed	Remaining
583	43521	329093
584	43602	329070
585	43673	328968
586	43753	328937
587	43819	328799
588	43904	328795
589	43976	328705
590	44054	328658
591	44129	328583
592	44216	328600
593	44304	328626
594	44377	328545
595	44458	328516
596	44529	328411
597	44595	328274
598	44669	328196
599	44745	328132
600	44815	328025
601	44896	327996
602	44975	327953
603	45043	327833
604	45113	327728
605	45185	327629
606	45257	327538
607	45320	327378
608	45385	327236
609	45463	327190
610	45549	327192
611	45617	327077
612	45698	327046
613	45764	326911
614	45841	326851
615	45918	326795
616	45989	326698
617	46070	326669
618	46159	326697
619	46229	326589
620	46298	326473
621	46375	326417
622	46455	326380
623	46527	326287
624	46591	326140
625	46660	326029
626	46736	325964
627	46802	325828
628	46883	325797
629	46946	325646
630	47021	325572
631	47082	325406
632	47171	325432
633	47238	325301
634	47307	325194
635	47396	325217
636	47463	325090
637	47528	324949
638	47600	324858
639	47683	324846
640	47762	324803
641	47846	324789
642	47931	324785
643	48006	324712
644	48080	324633
645	48153	324551
646	48218	324411
647	48289	324315
648	48370	324285
649	48452	324257
650	48525	324175
651	48602	324118
652	48682	324077
653	48759	324019
654	48835	323953
655	48905	323848
656	48975	323745
657	49049	323664
658	49134	323661
659	49215	323625
660	49291	323563
661	49362	323466
662	49448	323467
663	49525	323406
664	49595	323300
665	49670	323234
666	49747	323175
667	49818	323074
668	49893	322999
669	49968	322929
670	50036	322810
671	50112	322746
672	50181	322637
673	50251	322535
674	50323	322446
675	50387	322302
676	50454	322175
677	50519	322045
678	50599	322006
679	50673	321928
680	50751	321875
681	50815	321734
682	50890	321662
683	50964	321581
684	51029	321445
685	51105	321385
686	51178	321302
687	51244	321173
688	51322	321118
689	51389	320998
690	51470	320964
691	51547	320905
692	51620	320823
693	51697	320761
694	51772	320693
695	51835	320543
696	51913	320491
697	51983	320391
698	52053	320288
699	52119	320160
700	52204	320155
701	52278	320073
702	52353	320002
703	52435	319973
704	52506	319877
705	52570	319744
706	52637	319622
707	52725	319632
708	52796	319535
709	52877	319500
710	52954	319437
711	53023	319330
712	53108	319318
713	53190	319290
714	53279	319307
715	53346	319183
716	53423	319128
717	53498	319053
718	53574	318986
719	53645	318893
720	53715	318789
721	53786	318697
722	53854	318580
723	53934	318540
724	54021	318538
725	54099	318487
726	54179	318442
727	54253	318365
728	54327	318286
729	54409	318261
730	54485	318189
731	54554	318084
732	54627	318003
733	54708	317968
734	54788	317925
735	54865	317864
736	54945	317817
737	55014	317711
738	55096	317682
739	55171	317607
740	55245	317531
741	55330	317519
742	55407	317455
743	55479	317366
744	55556	317308
745	55623	317187
746	55692	317083
747	55762	316981
748	55839	316919
749	55902	316778
750	55988	316772
751	56055	316654
752	56133	316597
753	56205	316509
754	56280	316440
755	56354	316360
756	56426	316273
757	56502	316204
758	56565	316066
759	56628	315928
760	56697	315822
761	56766	315718
762	56842	315652
763	56928	315640
764	56992	315508
765	57048	315331
766	57125	315272
767	57206	315233
768	57269	315093
769	57343	315019
770	57414	314921
771	57496	314888
772	57567	314795
773	57634	314683
774	57707	314597
775	57771	314469
776	57842	314376
777	57925	314347
778	57999	314271
779	58055	314096
780	58127	314009
781	58209	313975
782	58280	313881
783	58393	314015
784	58457	313885
785	58522	313759
786	58587	313632
787	58658	313540
788	58738	313493
789	58807	313391
790	58893	313376
791	58978	313360
792	59047	313256
793	59121	313182
794	59197	313116
795	59265	313006
796	59331	312885
797	59400	312785
798	59468	312675
799	59551	312647
800	59625	312568
801	59703	312514
802	59764	312368
803	59835	312277
804	59903	312170
805	59971	312058
806	60057	312043
807	60122	311925
808	60189	311810
809	60271	311776
810	60352	311736
811	60433	311695
812	60504	311601
813	60574	311503
814	60643	311402
815	60730	311392
816	60794	311263
817	60865	311172
818	60937	311084
819	61014	311023
820	61092	310970
821	61178	310951
822	61254	310886
823	61326	310801
824	61409	310767
825	61481	310681
826	61551	310587
827	61624	310504
828	61689	310384
829	61755	310263
830	61827	310177
831	61903	310113
832	61968	309990
833	62041	309909
834	62116	309840
835	62186	309744
836	62248	309607
837	62335	309597
838	62401	309479
839	62480	309425
840	62546	309309
841	62609	309181
842	62686	309120
843	62756	309025
844	62843	309011
845	62923	308966
846	62991	308861
847	63062	308767
848	63128	308650
849	63198	308558
850	63274	308489
851	63361	308479
852	63440	308426
853	63509	308327
854	63586	308265
855	63658	308178
856	63729	308086
857	63804	308016
858	63883	307965
859	63951	307859
860	64015	307735
861	64088	307654
862	64157	307556
863	64218	307417
864	64305	307402
865	64378	307323
866	64448	307228
867	64537	307220
868	64605	307119
869	64670	306998
870	64738	306893
871	64803	306777
872	64881	306718
873	64958	306658
874	65023	306539
875	65090	306429
876	65175	306407
877	65254	306355
878	65329	306281
879	65389	306140
880	65457	306036
881	65529	305954
882	65600	305864
883	65671	305773
884	65733	305642
885	65815	305605
886	65892	305541
887	65965	305461
888	66030	305345
889	66111	305302
890	66171	305161
891	66235	305041
892	66311	304975
893	66380	304873
894	66452	304790
895	66521	304690
896	66594	304612
897	66667	304530
898	66738	304441
899	66817	304390
900	66889	304305
901	66959	304214
902	67026	304106
903	67101	304036
904	67169	303933
905	67237	303828
906	67304	303724
907	67380	303657
908	67455	303588
909	67535	303540
910	67614	303484
911	67695	303441
912	67765	303347
913	67836	303260
914	67904	303159
915	67971	303051
916	68043	302969
917	68116	302886
918	68186	302796
919	68255	302696
920	68343	302686
921	68424	302639
922	68501	302580
923	68572	302491
924	68660	302476
925	68729	302379
926	68810	302333
927	68875	302220
928	68953	302164
929	69028	302090
930	69100	302008
931	69167	301900
932	69241	301828
933	69310	301730
934	69383	301649
935	69444	301518
936	69508	301400
937	69571	301278
938	69642	301188
939	69720	301131
940	69801	301086
941	69874	301011
942	69940	300899
943	70011	300813
944	70090	300760
945	70167	300698
946	70244	300636
947	70317	300555
948	70395	300499
949	70462	300391
950	70548	300370
951	70625	300304
952	70707	300264
953	70796	300254
954	70868	300172
955	70945	300107
956	71009	299989
957	71078	299895
958	71150	299809
959	71222	299728
960	71295	299646
961	71369	299574
962	71431	299448
963	71506	299376
964	71566	299243
965	71641	299173
966	71708	299067
967	71775	298967
968	71840	298855
969	71903	298731
970	71975	298650
971	72045	298557
972	72119	298483
973	72191	298400
974	72263	298316
975	72339	298251
976	72404	298139
977	72474	298049
978	72550	297981
979	72622	297902
980	72687	297789
981	72755	297689
982	72824	297594
983	72890	297488
984	72968	297431
985	73033	297320
986	73102	297224
987	73178	297158
988	73258	297107
989	73333	297038
990	73410	296976
991	73481	296887
992	73541	296758
993	73611	296668
994	73682	296581
995	73750	296483
996	73817	296380
997	73884	296277
998	73956	296195
999	74031	296127
1000	74110	296071
1001	74177	295971
1002	74250	295892
1003	74322	295811
1004	74393	295724
1005	74468	295653
1006	74543	295581
1007	74611	295483
1008	74672	295360
1009	74745	295283
1010	74818	295202
1011	74884	295097
1012	74953	295003
1013	75029	294939
1014	75104	294868
1015	75171	294767
1016	75244	294690
1017	75315	294602
1018	75392	294542
1019	75461	294447
1020	75522	294324
1021	75597	294253
1022	75673	294186
1023	75744	294103
1024	75818	294029
1025	75883	293920
1026	75957	293843
1027	76031	293772
1028	76114	293730
1029	76176	293611
1030	76252	293545
1031	76319	293446
1032	76390	293359
1033	76451	293237
1034	76524	293158
1035	76596	293079
1036	76668	292996
1037	76736	292900
1038	76810	292825
1039	76887	292763
1040	76974	292737
1041	77046	292659
1042	77112	292552
1043	77180	292456
1044	77252	292376
1045	77328	292311
1046	77393	292202
1047	77457	292092
1048	77529	292010
1049	77605	291943
1050	77678	291865
1051	77752	291793
1052	77818	291690
1053	77904	291662
1054	77972	291565
1055	78040	291468
1056	78099	291339
1057	78173	291266
1058	78238	291158
1059	78306	291063
1060	78380	290991
1061	78457	290929
1062	78529	290847
1063	78589	290722
1064	78661	290642
1065	78725	290530
1066	78795	290443
1067	78861	290339
1068	78934	290264
1069	79012	290203
1070	79079	290104
1071	79140	289985
1072	79211	289899
1073	79288	289838
1074	79372	289803
1075	79443	289717
1076	79518	289649
1077	79599	289601
1078	79675	289533
1079	79757	289488
1080	79826	289397
1081	79896	289311
1082	79952	289173
1083	80015	289059
1084	80092	288996
1085	80159	288898
1086	80232	288823
1087	80300	288728
1088	80370	288640
1089	80433	288529
1090	80497	288419
1091	80569	288338
1092	80646	288274
1093	80726	288226
1094	80796	288138
1095	80862	288035
1096	80939	287974
1097	81014	287903
1098	81094	287851
1099	81154	287729
1100	81235	287680
1101	81315	287628
